ID	Sex	weak	trait
1447	1	9	15.6
1447	1	10	16.1
1447	1	11	16.2
1447	1	12	16.4
1447	1	13	16.4
1447	1	14	17.3
1447	1	15	17.5
1447	1	16	18.9
1455	2	1	5.4
1455	2	2	8.9
1455	2	3	11.9
1455	2	4	14.5
1455	2	5	17.5
1455	2	6	19.7
1455	2	7	21.4
1455	2	8	23.1
1455	2	9	21.8
1455	2	10	23.9
1455	2	11	23.1
1455	2	12	24.4
1455	2	13	26.2
1455	2	14	25.5
1455	2	15	26.7
1455	2	16	25.4
1462	1	1	5
1462	1	2	8.6
1462	1	3	10.7
1462	1	4	12.3
1462	1	5	15.2
1462	1	6	15.2
1462	1	7	15.5
1462	1	8	15.2
1462	1	9	15
1462	1	10	17.1
1462	1	11	17.1
1462	1	12	17.7
1462	1	13	18.9
1462	1	14	18.8
1462	1	15	20.7
1462	1	16	21.7
1469	2	1	4.5
1469	2	2	8.3
1469	2	3	10.3
1469	2	4	14.4
1469	2	5	16.9
1469	2	6	17.4
1469	2	7	17.1
1469	2	8	17.1
1469	2	9	17.4
1469	2	10	18.1
1469	2	11	18.3
1469	2	12	18.3
1469	2	13	18.6
1469	2	14	19
1469	2	15	19.7
1469	2	16	20.5
1477	1	1	4.4
1477	1	2	7.4
1477	1	3	9.8
1477	1	4	10.6
1477	1	5	12.8
1477	1	6	13.2
1477	1	7	13.8
1477	1	8	13.4
1477	1	9	13.7
1477	1	10	14.2
1477	1	11	14.4
1477	1	12	14.4
1477	1	13	14.5
1477	1	14	14.9
1477	1	15	15.1
1477	1	16	15.4
1485	2	1	5.5
1485	2	2	8.9
1485	2	3	12
1485	2	4	14.7
1485	2	5	18.3
1485	2	6	18.7
1485	2	7	18.9
1485	2	8	19.2
1485	2	9	19.8
1485	2	10	21.2
1485	2	11	21.5
1485	2	12	22.5
1485	2	13	22.6
1485	2	14	24.6
1485	2	15	24.6
1485	2	16	25.6
1493	2	1	5.4
1493	2	2	9.3
1493	2	3	12.4
1493	2	4	15.7
1493	2	5	19.2
1493	2	6	19.8
1493	2	7	20.3
1493	2	8	19.8
1493	2	9	21
1493	2	10	21.7
1493	2	11	22.3
1493	2	12	22.5
1493	2	13	22.2
1493	2	14	23.2
1493	2	15	23.4
1493	2	16	24.1
1501	2	1	5.5
1501	2	2	9.8
1501	2	3	12.4
1501	2	4	15.8
1501	2	5	21.4
1501	2	6	21.7
1501	2	7	23.1
1501	2	8	23
1501	2	9	24
1501	2	10	24.1
1501	2	11	23.9
1501	2	12	24.8
1501	2	13	24.4
1501	2	14	24.9
1501	2	15	26.1
1501	2	16	26.5
1509	2	1	4.8
1509	2	2	8.4
1509	2	3	10.3
1509	2	4	13.3
